                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.96562,                 0.5267,                0.93891,                0.89189,                0.93276,                0.96493,                0.70963,                0.98657,                0.52163,                0.94449,                0.00137,                0.00137,                0.00137
                     38,                 0.9593,                0.52495,                0.93334,                0.90027,                 0.9445,                0.97579,                0.72191,                0.96815,                0.52181,                0.94021,               0.001352,               0.001352,               0.001352
                     39,                0.94854,                 0.5326,                0.93436,                0.90234,                0.94023,                0.97099,                0.72196,                0.97242,                 0.5129,                0.94842,               0.001334,               0.001334,               0.001334
                     40,                 0.9653,                0.53337,                0.93492,                0.90203,                 0.9317,                0.97155,                0.71859,                0.97851,                0.50629,                0.94931,               0.001316,               0.001316,               0.001316
                     41,                0.95069,                0.52866,                0.93516,                0.91551,                0.90395,                0.96784,                0.70295,                0.98499,                0.54369,                0.94638,               0.001298,               0.001298,               0.001298
                     42,                0.96209,                 0.5254,                0.93236,                0.90891,                0.91569,                0.96841,                0.72301,                0.95498,                0.52352,                0.94025,                0.00128,                0.00128,                0.00128
                     43,                0.93689,                0.50244,                0.92711,                  0.889,                0.94984,                0.97125,                0.72526,                0.96355,                0.51767,                0.94161,               0.001262,               0.001262,               0.001262
                     44,                0.93471,                0.50734,                0.93042,                0.90617,                0.93597,                0.96568,                0.72074,                0.97852,                0.51225,                 0.9467,               0.001244,               0.001244,               0.001244
                     45,                0.92633,                0.50354,                0.92568,                0.88451,                0.94811,                0.95844,                0.71418,                0.97603,                0.51648,                0.94196,               0.001226,               0.001226,               0.001226
                     46,                0.93152,                0.50871,                0.93219,                0.89336,                0.93383,                0.96786,                0.72753,                0.97106,                0.49964,                0.94174,               0.001208,               0.001208,               0.001208
                     47,                0.92567,                0.50452,                0.92475,                0.89831,                 0.9285,                0.96748,                0.72758,                0.95995,                0.50514,                0.94288,                0.00119,                0.00119,                0.00119
                     48,                0.92313,                0.49875,                0.92781,                0.92652,                0.90928,                0.96967,                0.72583,                0.96158,                0.52146,                0.93789,               0.001172,               0.001172,               0.001172
                     49,                0.91318,                0.50073,                0.92505,                0.91126,                0.93276,                0.97047,                0.73034,                0.96558,                 0.4923,                0.93752,               0.001154,               0.001154,               0.001154
                     50,                0.93936,                 0.5053,                 0.9283,                0.91086,                0.92693,                0.96844,                0.72148,                0.94893,                 0.5057,                 0.9406,               0.001136,               0.001136,               0.001136
                     51,                 0.9324,                0.49993,                0.92799,                0.91795,                0.93134,                0.97049,                0.72648,                0.95758,                0.49096,                0.94248,               0.001118,               0.001118,               0.001118
                     52,                0.92229,                0.48742,                0.92082,                0.91253,                0.92417,                0.96392,                0.72158,                0.96406,                 0.5036,                0.94253,                 0.0011,                 0.0011,                 0.0011
                     53,                0.91528,                0.48865,                0.92058,                0.90975,                0.92423,                0.97306,                0.72694,                 0.9554,                0.50395,                0.94059,               0.001082,               0.001082,               0.001082
                     54,                0.91651,                    0.5,                 0.9213,                0.88768,                0.92636,                0.96663,                0.72447,                0.95138,                0.50426,                0.93537,               0.001064,               0.001064,               0.001064
                     55,                0.90859,                0.48839,                0.91467,                0.88835,                0.92554,                0.96412,                0.71963,                0.95789,                0.50487,                0.94143,               0.001046,               0.001046,               0.001046
                     56,                0.91667,                0.49303,                0.92338,                0.89993,                0.95017,                0.97504,                0.73335,                 0.9381,                0.49118,                0.93393,               0.001028,               0.001028,               0.001028
                     57,                0.90141,                0.48188,                0.91741,                 0.9191,                0.92153,                0.96692,                0.72436,                0.95683,                0.49225,                0.93753,                0.00101,                0.00101,                0.00101
                     58,                 0.9175,                0.49375,                 0.9235,                0.92789,                0.92012,                0.97434,                 0.7197,                0.98647,                0.51106,                0.94959,               0.000992,               0.000992,               0.000992
                     59,                0.89526,                0.47991,                 0.9139,                0.90537,                0.93383,                0.97225,                0.73215,                0.95253,                0.49304,                0.93887,               0.000974,               0.000974,               0.000974
                     60,                0.89742,                0.48584,                0.92599,                0.92288,                0.93234,                0.97626,                0.72828,                0.94827,                0.50904,                0.93766,               0.000956,               0.000956,               0.000956
                     61,                0.89419,                0.47951,                0.92094,                 0.8962,                0.93064,                0.96802,                0.72705,                0.93859,                0.50257,                0.93746,               0.000938,               0.000938,               0.000938
                     62,                0.90607,                0.48773,                0.92027,                0.91485,                0.92529,                0.97103,                0.73217,                0.95993,                0.48755,                0.94209,                0.00092,                0.00092,                0.00092
                     63,                0.89829,                  0.475,                0.92006,                0.91318,                0.93168,                0.96889,                0.73147,                0.94691,                0.48073,                0.93826,               0.000902,               0.000902,               0.000902
                     64,                0.89276,                0.47272,                0.92119,                0.90828,                0.93006,                 0.9721,                0.73396,                0.95475,                0.48957,                0.93906,               0.000884,               0.000884,               0.000884
                     65,                0.87914,                0.46823,                0.91328,                0.91508,                0.92636,                0.97486,                0.73715,                0.95804,                 0.4927,                0.94234,               0.000866,               0.000866,               0.000866
                     66,                0.86725,                 0.4601,                0.90757,                0.89442,                 0.9445,                 0.9655,                0.72776,                0.93524,                0.48736,                0.93523,               0.000848,               0.000848,               0.000848
                     67,                 0.8795,                0.46556,                0.91425,                 0.9341,                0.91782,                0.97233,                0.73673,                0.95756,                0.49551,                0.94142,                0.00083,                0.00083,                0.00083
                     68,                0.87783,                0.46872,                0.90951,                0.90289,                0.93277,                0.97351,                0.72653,                0.95646,                 0.4849,                0.94419,               0.000812,               0.000812,               0.000812
                     69,                0.88328,                0.46442,                0.91231,                0.91515,                0.94237,                0.97483,                0.73764,                0.93382,                0.48005,                0.93343,               0.000794,               0.000794,               0.000794
                     70,                0.86827,                0.46196,                0.91267,                0.90529,                0.93852,                0.97307,                0.73695,                0.94933,                 0.4837,                0.93757,               0.000776,               0.000776,               0.000776
                     71,                0.87036,                0.45702,                0.91513,                0.91427,                0.93324,                0.97691,                0.73465,                0.94208,                 0.4792,                 0.9323,               0.000758,               0.000758,               0.000758
                     72,                0.86827,                0.45841,                0.91005,                0.93726,                0.90288,                  0.974,                0.73563,                0.94445,                0.48602,                0.93538,                0.00074,                0.00074,                0.00074
                     73,                0.86854,                0.45899,                0.91217,                0.90415,                0.95518,                0.97563,                0.74007,                0.95786,                0.47066,                0.93875,               0.000722,               0.000722,               0.000722
                     74,                0.86573,                0.45357,                0.90931,                0.91505,                0.94265,                0.97125,                0.73586,                0.95085,                0.47152,                0.93943,               0.000704,               0.000704,               0.000704
                     75,                 0.8696,                0.45522,                  0.912,                 0.9207,                0.92927,                0.96967,                0.73275,                 0.9581,                0.48403,                0.93999,               0.000686,               0.000686,               0.000686
                     76,                0.86736,                0.45651,                0.91394,                0.92822,                0.92461,                0.97069,                0.73418,                0.94956,                0.47038,                 0.9344,               0.000668,               0.000668,               0.000668
                     77,                0.85241,                 0.4466,                 0.9004,                0.90966,                0.94771,                0.97214,                0.73869,                0.94631,                0.47473,                0.93629,                0.00065,                0.00065,                0.00065
                     78,                0.85987,                 0.4557,                0.91067,                0.92355,                 0.9283,                0.97675,                0.73616,                0.95057,                0.47728,                0.93568,               0.000632,               0.000632,               0.000632
                     79,                0.86018,                0.44669,                0.90625,                0.90012,                0.95518,                0.97117,                0.72734,                0.95834,                0.48693,                0.94397,               0.000614,               0.000614,               0.000614
                     80,                0.85746,                 0.4477,                0.90205,                0.91767,                0.94557,                0.97033,                0.73534,                0.94674,                 0.4634,                0.93576,               0.000596,               0.000596,               0.000596
                     81,                0.83687,                0.44103,                0.90435,                0.88791,                0.95838,                0.97377,                0.73845,                0.95667,                0.47233,                0.93881,               0.000578,               0.000578,               0.000578
                     82,                0.85259,                0.44245,                0.90442,                0.90678,                0.94473,                0.97132,                0.73616,                0.93651,                0.46432,                0.93607,                0.00056,                0.00056,                0.00056
                     83,                0.85025,                0.44379,                  0.906,                0.92139,                0.93812,                0.97663,                0.74173,                0.93899,                0.46235,                0.93498,               0.000542,               0.000542,               0.000542
                     84,                0.84115,                0.44076,                0.90254,                0.91964,                0.94041,                 0.9689,                0.73862,                0.93796,                 0.4597,                0.93664,               0.000524,               0.000524,               0.000524
                     85,                0.83454,                0.43447,                0.89849,                0.91239,                0.94467,                0.97074,                0.74232,                0.94194,                0.46326,                0.93808,               0.000506,               0.000506,               0.000506
                     86,                0.84612,                0.44174,                0.90464,                0.93492,                0.91984,                 0.9737,                0.73835,                  0.955,                0.46516,                0.93868,               0.000488,               0.000488,               0.000488
                     87,                0.84321,                0.43291,                0.90394,                 0.8897,                0.96051,                0.96684,                0.73462,                0.94284,                0.46407,                0.93786,                0.00047,                0.00047,                0.00047
                     88,                0.83706,                0.43556,                0.90467,                0.93156,                0.92529,                0.97168,                0.74194,                 0.9327,                0.45775,                0.93274,               0.000452,               0.000452,               0.000452
                     89,                0.83693,                0.43591,                0.90362,                0.93869,                0.91142,                0.97068,                0.74044,                0.94408,                0.46474,                0.93311,               0.000434,               0.000434,               0.000434
                     90,                 0.8376,                0.43623,                0.90377,                0.90802,                0.92716,                0.97007,                0.73474,                0.94916,                0.47273,                0.93896,               0.000416,               0.000416,               0.000416
                     91,                 0.8202,                 0.4173,                0.90069,                0.90708,                0.94808,                0.97362,                 0.7461,                0.93942,                0.46874,                0.93665,               0.000398,               0.000398,               0.000398
                     92,                0.81937,                0.41478,                0.90065,                0.91542,                 0.9381,                0.97166,                0.73937,                0.94725,                0.46132,                0.93643,                0.00038,                0.00038,                0.00038
                     93,                0.80442,                 0.4038,                0.90001,                0.90942,                0.95365,                0.96821,                0.73181,                0.93806,                0.46474,                0.93586,               0.000362,               0.000362,               0.000362
                     94,                0.80433,                0.40423,                0.89626,                0.91794,                0.93917,                0.97549,                0.73692,                0.94915,                0.47451,                0.93788,               0.000344,               0.000344,               0.000344
                     95,                0.79789,                0.40052,                0.89702,                0.90682,                0.94518,                0.97293,                0.73782,                0.95259,                0.47056,                0.94116,               0.000326,               0.000326,               0.000326
                     96,                0.79526,                0.39623,                0.89265,                0.90005,                0.95838,                0.96769,                0.73495,                0.94748,                0.46524,                0.93658,               0.000308,               0.000308,               0.000308
                     97,                0.80333,                0.39939,                0.89015,                0.92511,                0.93603,                 0.9735,                0.73937,                 0.9486,                 0.4691,                0.93802,                0.00029,                0.00029,                0.00029
                     98,                0.78628,                0.39691,                0.88643,                0.92631,                0.92209,                0.97049,                0.73677,                0.94855,                0.46097,                0.93868,               0.000272,               0.000272,               0.000272
                     99,                0.78574,                0.39123,                0.88764,                0.92895,                0.93276,                0.97383,                0.74396,                0.92817,                0.46413,                0.93255,               0.000254,               0.000254,               0.000254
                    100,                0.79032,                0.39113,                0.89066,                0.93497,                0.92063,                0.97315,                0.74195,                0.93939,                0.45875,                0.93653,               0.000236,               0.000236,               0.000236
